Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-02-04 07:08:22,false,"Sydney Running","8.06","525","00:38:25","154","183","156","172","4:46","4:03","100","118","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:16.30","9","0.0","00:37:31","00:50:02","4","111"
Running,2021-02-02 18:02:42,false,"Sydney Running","5.02","308","00:23:33","150","181","156","172","4:41","4:08","28","76","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.70","6","0.0","00:23:26","00:27:26","36","111"
Running,2021-01-25 16:44:29,false,"Sydney Running","7.82","516","00:37:59","154","181","154","171","4:51","4:16","118","154","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:56.59","8","0.0","00:37:31","00:46:02","-31","112"
Running,2021-01-22 06:50:43,false,"Sydney Running","9.35","650","00:44:38","162","185","156","178","4:46","4:03","175","234","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:30.84","10","0.0","00:44:25","00:56:58","-86","103"
Running,2021-01-19 06:45:58,false,"Sydney Running","8.04","539","00:37:57","160","181","158","176","4:43","3:38","92","156","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:10.85","9","0.0","00:37:48","00:46:05","-9","100"
Running,2021-01-17 07:44:32,false,"Sydney Running","7.66","488","00:41:21","142","166","155","169","5:24","4:24","21","153","1.19","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:06.15","8","0.0","00:41:09","00:49:38","-62","114"
Running,2021-01-15 12:38:03,false,"Sydney Running","5.07","349","00:24:06","160","181","156","169","4:46","4:09","28","77","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:21.81","6","0.0","00:23:55","00:26:47","42","115"
Running,2021-01-13 17:24:11,false,"Sydney Running","8.12","535","00:38:21","158","180","157","173","4:43","3:49","146","222","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:35.31","9","0.0","00:38:12","00:44:52","-56","102"
Running,2021-01-11 18:13:06,false,"Sydney Running","4.93","312","00:24:18","148","171","152","167","4:56","4:20","17","93","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:35.51","5","0.0","00:23:46","00:27:21","8","105"
Running,2021-01-08 16:57:07,false,"Sydney Running","8.25","518","00:37:01","160","184","157","222","4:29","3:50","89","158","1.42","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:03.99","9","0.0","00:35:38","00:44:40","-39","111"
